timestamp;AFz;AF3;AF4;AF7;AF8;Pz;P3;P4
1715069288495;-7255.599;-8387.23;-6990.731;-7407.516;-7236.265;-3031.977;-3750.473;-2515.54
1715069288503;-7178.821;-8295.104;-6918.05;-7329.658;-7159.449;-2972.744;-3683.492;-2457.76
1715069288511;-7073.32;-8173.622;-6816.723;-7219.501;-7055.066;-2944.879;-3645.942;-2450.757
1715069288519;-6940.477;-8023.567;-6687.79;-7085.018;-6923.229;-2869.293;-3555.305;-2379.604
1715069288527;-6864.891;-7932.894;-6615.333;-7010.847;-6846.189;-2825.633;-3515.482;-2340.041
1715069288535;-6747.395;-7798.597;-6502.233;-6890.334;-6728.955;-2814.978;-3488.176;-2338.402
1715069288543;-6655.306;-7691.234;-6414.242;-6793.961;-6638.021;-2735.183;-3398.322;-2259.985
1715069288560;-6546.267;-7563.867;-6308.369;-6681.904;-6528.385;-2705.827;-3358.61;-2247.617
1715069288568;-6451.532;-7452.257;-6216.615;-6586.648;-6433.837;-2675.317;-3314.316;-2220.05
1715069288576;-6370.172;-7354.841;-6137.527;-6501.6;-6354.787;-2626.292;-3259.629;-2181.53
1715069288584;-6242.32;-7212.497;-6014.854;-6372.035;-6227.568;-2605.505;-3223.866;-2172.813
1715069288592;-6159.171;-7115.64;-5936.883;-6290.339;-6143.525;-2536.029;-3150.739;-2099.164
1715069288600;-6044.358;-6984.472;-5825.944;-6171.763;-6027.78;-2503.507;-3108.531;-2083.406
1715069288608;-5944.446;-6868.69;-5729.198;-6068.945;-5930.438;-2460.778;-3047.623;-2041.72
1715069288616;-5842.41;-6752.685;-5631.373;-5965.27;-5828.887;-2398.752;-2982.728;-1983.531
1715069288624;-5722.195;-6616.749;-5514.808;-5842.932;-5709.343;-2379.939;-2947.077;-1978.315
1715069288632;-5636.774;-6520.338;-5432.74;-5756.169;-5622.916;-2317.205;-2869.07;-1915.321
1715069288640;-5540.848;-6406.382;-5339.124;-5660.131;-5526.282;-2308.339;-2867.468;-1920.462
1715069288648;-5451.217;-6299.242;-5254.82;-5568.377;-5439.669;-2275.519;-2815.09;-1888.126
1715069288656;-5384.311;-6218.739;-5187.951;-5498.156;-5372.204;-2230.48;-2759.993;-1847.222
1715069288664;-5270.019;-6088.093;-5076.789;-5380.325;-5258.769;-2212.823;-2729.967;-1839.772
1715069288672;-5195.178;-5999.394;-5008.28;-5303.584;-5183.667;-2149.492;-2657.548;-1776.256
1715069288680;-5102.381;-5894.49;-4920.028;-5211.383;-5090.982;-2133.772;-2635.308;-1777.411
1715069288688;-4968.904;-5743.615;-4787.892;-5075.038;-4957.579;-2062.395;-2546.683;-1704.954
1715069288696;-4885.346;-5644.933;-4708.432;-4989.393;-4874.952;-2008.788;-2485.774;-1659.803
1715069288704;-4803.017;-5545.69;-4628.562;-4903.115;-4793.406;-2017.245;-2485.663;-1677.722
1715069288712;-4737.116;-5464.852;-4564.114;-4833.713;-4728.474;-1952.201;-2424.046;-1611.188
1715069288720;-4623.458;-5339.198;-4453.808;-4719.57;-4614.666;-1922.958;-2391.227;-1595.989
1715069288728;-4527.122;-5229.674;-4363.842;-4623.458;-4518.181;-1888.499;-2339.668;-1564.138
1715069288736;-4447.55;-5136.058;-4286.952;-4544.481;-4436.821;-1833.476;-2282.523;-1518.875
1715069288744;-4337.132;-5011.074;-4179.366;-4432.5;-4326.403;-1827.106;-2259.538;-1522.899
1715069288748;-4277.341;-4939.772;-4125.573;-4367.978;-4268.586;-1770.742;-2193.265;-1461.767
1715069288756;-4182.905;-4829.615;-4031.174;-4270.375;-4174.858;-1750.29;-2164.468;-1453.236
1715069288764;-4093.982;-4729.033;-3947.057;-4183.464;-4086.718;-1723.468;-2120.919;-1421.943
1715069288772;-4013.33;-4634;-3872.663;-4104.711;-4007.071;-1660.399;-2057.031;-1364.946
1715069288780;-3902.726;-4510.879;-3765.598;-3991.835;-3895.946;-1639.053;-2023.727;-1359.47
1715069288788;-3835.41;-4428.96;-3698.543;-3918.074;-3828.369;-1575.872;-1954.101;-1292.601
1715069288796;-3758.632;-4338.398;-3626.16;-3842.264;-3753.714;-1573.339;-1939.125;-1303.293
1715069288804;-3658.161;-4225.224;-3529.266;-3741.384;-3652.871;-1541.004;-1897.328;-1270.436
